"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9900","Test Case 2: Login User with correct email and password","","Wed Mar 05 02:15:18 UTC 2025","passed","Wed Mar 05 02:15:28 UTC 2025","","test with automation exercise ","test with automation exercise ","Test Case 2: Login User with correct email and password"
"","9423","Test Case 1: Register User","","Wed Mar 05 02:15:08 UTC 2025","passed","Wed Mar 05 02:15:18 UTC 2025","","test with automation exercise ","test with automation exercise ","Test Case 1: Register User"
"","1426","Test Case 3: Login User with incorrect email and password","","Wed Mar 05 02:15:28 UTC 2025","passed","Wed Mar 05 02:15:29 UTC 2025","","test with automation exercise ","test with automation exercise ","Test Case 3: Login User with incorrect email and password"
