"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 20:27:37 GMT 2025","Sun Mar 30 20:27:39 GMT 2025","1262","","test with automation exercise ","","test with automation exercise ","Test Case 3: Login User with incorrect email and password","Test Case 3: Login User with incorrect email and password",""
"passed","Sun Mar 30 20:27:22 GMT 2025","Sun Mar 30 20:27:29 GMT 2025","7283","","test with automation exercise ","","test with automation exercise ","Test Case 1: Register User","Test Case 1: Register User",""
"passed","Sun Mar 30 20:27:29 GMT 2025","Sun Mar 30 20:27:37 GMT 2025","8163","","test with automation exercise ","","test with automation exercise ","Test Case 2: Login User with correct email and password","Test Case 2: Login User with correct email and password",""
