"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 19:00:36 GMT 2025","Sun Mar 30 19:00:38 GMT 2025","1409","","test with automation exercise ","","test with automation exercise ","Test Case 3: Login User with incorrect email and password","Test Case 3: Login User with incorrect email and password",""
"passed","Sun Mar 30 19:00:20 GMT 2025","Sun Mar 30 19:00:27 GMT 2025","7570","","test with automation exercise ","","test with automation exercise ","Test Case 1: Register User","Test Case 1: Register User",""
"passed","Sun Mar 30 19:00:27 GMT 2025","Sun Mar 30 19:00:36 GMT 2025","9247","","test with automation exercise ","","test with automation exercise ","Test Case 2: Login User with correct email and password","Test Case 2: Login User with correct email and password",""
