"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 02 22:58:51 GMT 2025","Wed Apr 02 22:59:00 GMT 2025","8618","","test with automation exercise ","","test with automation exercise ","Test Case 2: Login User with correct email and password","Test Case 2: Login User with correct email and password",""
"passed","Wed Apr 02 22:58:43 GMT 2025","Wed Apr 02 22:58:51 GMT 2025","7673","","test with automation exercise ","","test with automation exercise ","Test Case 1: Register User","Test Case 1: Register User",""
"failed","Wed Apr 02 22:59:01 GMT 2025","Wed Apr 02 22:59:07 GMT 2025","5495","","test with automation exercise ","","test with automation exercise ","Test Case 4: Cenário para gerar um erro testes","Test Case 4: Cenário para gerar um erro testes",""
"passed","Wed Apr 02 22:59:00 GMT 2025","Wed Apr 02 22:59:01 GMT 2025","1401","","test with automation exercise ","","test with automation exercise ","Test Case 3: Login User with incorrect email and password","Test Case 3: Login User with incorrect email and password",""
